camion,descarga,tiempo,tiempo_seg,gyro_x,peso_t,fuente
1,1,00:06,6.0,-48.0,40,OCR
1,2,00:13,13.9,-118.6,40,OCR
1,3,00:34,34.9,-42.7,121,OCR
1,4,00:42,42.7,-47.3,121,OCR
2,1,02:11,131.7,-53.7,26,OCR
2,2,02:21,141.2,-59.0,26,OCR
2,3,02:35,155.9,-49.2,56,EST(+30t)
2,4,03:08,188.8,-124.6,86,EST(+30t)
2,5,03:40,220.5,-50.1,116,EST(+30t)
2,6,03:50,230.2,-46.7,146,EST(+30t)
2,7,04:16,256.9,-53.0,176,EST(+30t)
2,8,05:13,313.9,-55.4,206,EST(+30t)
2,9,05:27,327.3,-46.6,236,EST(+30t)
2,10,05:42,342.9,-75.4,266,EST(+30t)
2,11,05:58,358.9,-46.1,296,EST(+30t)
2,12,06:05,365.8,-80.6,300,EST(+30t)
2,13,06:16,376.8,-42.4,300,EST(+30t)
2,14,06:32,392.5,-84.3,300,EST(+30t)
2,15,06:43,403.9,-40.9,300,EST(+30t)
2,16,07:32,452.4,-111.2,300,EST(+30t)
2,17,07:58,478.6,-61.7,300,EST(+30t)
2,18,08:28,508.5,-56.7,300,EST(+30t)
2,19,08:40,520.4,-45.6,300,EST(+30t)
2,20,08:56,536.6,-75.7,300,EST(+30t)
3,1,10:26,626.9,-54.4,56,OCR
3,2,10:42,642.0,-42.1,56,OCR
3,3,11:27,687.6,-49.4,86,EST(+30t)
3,4,11:55,715.9,-43.2,116,EST(+30t)
3,5,12:23,743.3,-40.9,146,EST(+30t)
3,6,12:33,753.1,-53.6,176,EST(+30t)
4,1,13:47,827.4,-55.6,40,EST(+40t)
4,2,14:18,858.1,-56.4,80,EST(+40t)
4,3,14:22,862.5,-83.0,120,EST(+40t)
4,4,14:53,893.9,-66.7,160,EST(+40t)
